category,entity,count
PER,трамп,38
PER,путін,33
PER,зеленський,20
PER,дональд трамп,17
PER,володимир зеленський,10
PER,іран,8
PER,людмила лузан,5
PER,володимир путін,5
PER,євген коновалець,4
PER,експерт,3
PER,тетяна помірко,2
PER,карина канарян,2
PER,суспільному,2
PER,анатолій курочка,2
PER,олег горяінов,2
PER,віткоффа,2
PER,кушнер,2
PER,пашинян,2
PER,марокко,2
PER,руслан кійко,2
ORG,зсу,13
ORG,чс-2026,12
ORG,g7,10
ORG,bihus,10
ORG,ліга нація з волейбол,7
ORG,чм-2026,7
ORG,нба,5
ORG,ліга нація,5
ORG,сбу,5
ORG,білий дім,5
ORG,тсн.ua,5
ORG,влк,5
ORG,династія,5
ORG,нікс,4
ORG,генштаб зсу,4
ORG,нато,4
ORG,reuters,4
ORG,харківський художній музей,3
ORG,упа,3
ORG,іл-76,3
LOC,україна,110
LOC,рф,72
LOC,росія,45
LOC,сша,42
LOC,польща,21
LOC,крим,16
LOC,київ,13
LOC,львов,12
LOC,кремль,11
LOC,чернівці,10
LOC,рівненщина,10
LOC,кий,10
LOC,вінниччина,9
LOC,одеса,9
LOC,харківщина,9
LOC,запоріжжя,9
LOC,франція,9
LOC,тернопіль,9
LOC,харків,8
LOC,миколаївщина,8
