date,source,title,text
2026-06-14 20:27:22,Суспільне,"Пожежа у художньому музеї Харкова після удару РФ: ""Усе найцінніше у нас було вивезено""","Найцінніші експонати Харківського художнього музею були евакуйовані ще у 2022 році. 14 червня будівля зазнала пошкоджень внаслідок російського удару. Що відомо про колекцію,що лишалася"
2026-06-14 20:22:57,Суспільне,На подіум у 60 років. Історія моделі зі Львова Тетяни Помірко,"Тетяна Помірко зі Львова вийшла на подіум вперше три роки тому. Каже, що навчатися дефіле пішла з цікавості. Зараз їй 62 роки і вона бере участь у демонстрації одягу закордонних брендів, які приходять на український ринок"
2026-06-14 20:21:13,Суспільне,"Зранку російські війська атакували авто на двох дорогах Донеччини, троє поранених",Сьогодні зранку 14 червня російські війська атакували автомобілі на двох дорогах Донецької області. Поранення дістали троє людей. Про це Суспільному Донбас телефоном розповіла речниця обласної прокуратури Анастасія Мєдвєдєва
2026-06-14 20:21:11,Суспільне,Ротації армії РФ на боєздатніші підрозділи та підготовка до нового наступу: ситуація на Гуляйпільському напрямку,Окупанти готуються посилювати штурми на Гуляйпільському напрямку — для цього замінюють проводять ротації особового складу на більш боєздатні підрозділи
2026-06-14 20:19:00,Суспільне,На Тернопільщині синоптики прогнозують пориви вітру й невеликі дощі,"У понеділок, 15 червня, синоптики прогнозують на Тернопільщині пориви вітру й невеликі дощі. Також цього дня буде мінлива хмарність. Перший, жовтий рівень небезпечності"
2026-06-14 20:18:04,Суспільне,"""Не тільки для дітей"": у національному природному парку на Чернігівщині створили нову локацію для відвідувачів",Вольєр з фазанами облаштували працівники Мезинського національного природного парку на Чернігівщині. Нова локація створюється для залучення більшої кількості відвідувачів.
2026-06-14 20:15:22,Суспільне,Догляд за помідорами у відкритому ґрунті — досвід городниці з Житомира,"Житомирська городниця Тетяна Ліневич розповіла про полив, підживлення, обробку від хвороб і формування кущів помідорів — що потрібно робити"
2026-06-14 20:15:09,Суспільне,У Липовці на Вінниччині відбувся футбольний турнір пам’яті полеглого захисника Юрія Мигуна,У Липовці 14 травня організували футбольний турнір у пам'ять про загиблого Юрія Мигун. Спортивні змагання відбулися на міському стадіоні — у третю річницю загибелі захисника
2026-06-14 20:15:00,Суспільне,"Дістав три поранення та 105 контузій: історія бійця 128 ОВМБр ""Дике Поле"", який безперервно був ""на нулі"" пів року","Ігор — старший солдат 128 ОВМБр ""Дике Поле"". На фронті армієць із січня 2023 року, пішов після мобілізації молодшого брата. Чоловік за час служби переніс 105 контузій та три поранення. А також шість місяців провів на позиції"
2026-06-14 20:14:54,Суспільне,"Чому чашу колишнього 50-метрового басейну біля стадіону ""Буковина"" засипали землею",Чашу колишнього 50-метрового басейну біля стадіону «Буковина» у Чернівцях засипали землею. ФК «Буковина» пояснив це реконструкцією футбольного поля
2026-06-14 20:12:15,Суспільне,Олімпійська віцечемпіонка виграла перший титул WTA за три роки: на турнір потрапила на відмові Костюк,"Донна Векич: хорватська тенісистка, перша за три роки перемога на турнірі WTA, матч турніру WTA 500 в Лондоні, результат фінального поєдинку"
2026-06-14 20:06:30,Суспільне,На Кіровоградщині розшукали безвісти зниклу жінку Карину Канарян,Розшукали Карину Канарян. Заяву до поліції про зникнення жінки 22 травня подала її матір. Про це Суспільному розповіла речниця поліції регіону Оксана Ковтуненко
2026-06-14 20:05:00,Суспільне,"""Я — чисто пейзажист"": історія художника з Черкащини","Художник з Черкащини Олександр Галай понад 30 років пише картини, попри те, що родина хотіла для нього іншого життєвого шляху. На його картинах — краєвиди рідної Монастирищини"
2026-06-14 20:00:00,Суспільне,"""Найкраще в Одесі — це люди"": британець Том Ванг про перші дні життя в Одесі","Британець Том Ванг переїхав до Одеси з Лондона майже два роки тому. Викладач англійської мови, математики та природничих наук розповів про перші дні життя в Одесі, адаптацію до України та знайомство з українською культурою."
2026-06-14 19:53:48,Суспільне,Наслідки атак та зустріч звільненого з полону воїна: як минув тиждень на Миколаївщині у фото,"Зустріч звільненого з полону воїна, виставка про безвісти зниклих у Кринках захисників, ліквідація наслідків російських атак, порятунок кобили Жасмін та світовий рекорд миколаївської спортсменки — у добірці світлин з Миколаївщини"
2026-06-14 19:47:30,Суспільне,Погода в Івано-Франківську та області 15 червня,"15 червня в Івано-Франківську та області синоптики прогнозують хмарну з проясненнями погоду, помірний короткочасний дощ, місцями — грозу"
2026-06-14 19:40:25,Суспільне,Як рятували картини у Харківському художньому музеї від пожежі після влучання: фоторепортаж,"Як у Харкові рятували картини з художнього музею, охопленому вогнем на даху після удару російського дрона: фоторепортаж Суспільне Харків"
2026-06-14 19:40:04,Суспільне,На Кіровоградщині прогнозують грозу та шквальний вітер,"14 червня в найближчу годину з утриманням вночі 15 червня очікується гроза, місцями шквальний вітер 15-20 метрів за секунду. Про це повідомили на сторінці обласного центру з гідрометеорології у Facebook"
2026-06-14 19:39:01,Суспільне,"У музей на Тернопільщині передали речі, які вишивала зв’язкова УПА","У Шумський краєзнавчий музей на Тернопільщині передали речі, які вишивала зв’язкова УПА Мирослава Бучовська. Жінка 10 років відбула у таборах ГУЛАГу"
2026-06-14 19:32:29,Суспільне,"""Автостоп по-донбаськи"": військові на НРК підвезли до Краматорську літню жінку, яка пішли йшла з Костянтинівки","Військові допомогли евакуюватись жінці з Костянтинівки. Її разом з собаками на наземному роботизованому комплексі підвезли до Дружківки, а звідти допомогли дістатись Краматорська. Про це повідомляється на сторінці 93-ї бригади"
2026-06-14 16:30:32,Суспільне,Якою буде погода на Херсонщині 15 червня,У Херсоні та області 15 червня 2026 року буде мінлива хмарність. Опадів синоптики не прогнозують. Якою буде погода упродовж цієї доби
2026-06-14 19:22:04,Суспільне,У Харкові — пряме влучання у художній музей: що відомо про наслідки,Художній музей Харкова потрапив під удар дрона 14 червня. Внаслідок удару загорівся дах будівлі. Що відомо про поранених та експонати
2026-06-14 19:21:44,Суспільне,"Харківський художній музей під час вторгнення: евакуйовували експонати, відновлювали пошкоджену будівлю","14 червня Харківський художній музей став ціллю російських військ: у будівлі головного корпусу зайнявся дах. Це не перше пошкодження будівлі. Суспільне розповідає, чим жив музей та що відомо про евакуацію колекції"
2026-06-14 19:19:35,Суспільне,"Працює за 4 км від лінії зіткнення: газівника з Нікопольщини Анатолія Курочку нагородили орденом ""За мужність""","Газівник Анатолій Курочка, який працює у Покровській громаді Нікопольського району Дніпропетровщини, отримав орден ""За мужність"" ІІІ ступеня від президента України. Анатолій у професії — понад 20 років"
2026-06-14 19:17:00,Суспільне,"""Листи туди не передають"": батьки захисника з Черкас понад чотири роки чекають його з російського полону","Черкасець Артем на позивний ""Хуліган"" долучився до бригади ""Азов"" у 2018 році як бойовий медик. Він брав участь в АТО, а на початку повномасштабного вторгнення обороняв Маріуполь"
2026-06-14 19:15:27,Суспільне,"""Виглядало неможливим"". Льюїс Гемілтон вперше виграв гонку Формули-1 в статусі пілота ""Феррарі""","Льюїс Гемілтон: британський пілот Формули-1, перша перемога на етапах Гран-прі у статусі пілота ""Феррарі"", як пройшла гонка, результати"
2026-06-14 19:10:00,Суспільне,Як блогер-переселенець із Харкова закохався у Волинь і почав про неї розповідати у соцмережах,"Три роки тому Артем Приходько переїхав із Харкова до Луцька. Знімає маловідомі місця Волині, місцеву історію та екологічні теми. Історія про переїзд, хейт та любов до Волині"
2026-06-14 19:06:41,Суспільне,Росія вдарила по Балаклійській громаді на Харківщині: є постраждалі,"14 червня 2026 року близько 17:20 російські війська атакували Бригадирівський округ Балаклійської громади: постраждали двоє людей, пошкоджені приватні будинки"
2026-06-14 19:05:21,Суспільне,"""До таких пейзажів я зовсім не звик"": полярник з Рівненщини Олег Горяінов розповів про адаптацію та роботу в Антарктиці","Не багато снігу, часті дощі та відсутність сильних морозів — так погоду в Антарктиці, де вже розпочалась зима, описує учасник 31 Української антарктичної експедиції Олег Горяінов з Рівненщини"
2026-06-14 19:04:37,Суспільне,Трамп і Путін домовились про візит до Москви Віткоффа та Кушнера,"14 червня Володимир Зеленський телефоном також привітав американського лідера із днем народження. Крім цього, вони обговорили подальший хід переговорів для закінчення війни РФ проти України та дипломатичні кроки"
2026-06-14 18:59:25,Суспільне,FPV-дрон вдарив по Золочеву ввечері 14 червня: поранений працівник поліції,"14 червня 2026 року близько 16:45 армія РФ атакувала Золочів на Харківщині FPV-дроном: 35-річний поліцейський дістав вибухове поранення, його ушпиталили"
2026-06-14 18:54:48,Суспільне,"Восьмі ретроперегони: автівки та мотоцикли проїхали трасою ""Львівський трикутник""","14 червня 3 Львові відбулися VIII ретроперегони. Учасники проїхали історичною трасою ""Львівський трикутник"", на якій відбулися перші міжнародні кільцеві авто-мото перегони ""Гран-прі Львова"" 1930 року. Яка була найстаріша машина?"
2026-06-14 18:53:52,Суспільне,Японець двічі за два дні оновив 24-річний юніорський світовий рекорд U18 з бігу на 400 м з/б,17-річний японський бігун Тайдзю Ґото на 400 м з бар'єрами побив 24-річний найкращий результат у світі серед атлетів U18 на національному чемпіонаті
2026-06-14 18:48:31,Суспільне,Гендер-паті у пожежній частині: тернопільський рятувальник дізнався про стать дитини,"У Тернопільській пожежно-рятувальній частині відбулася вечірка у стилі гендер-паті. Рятувальник Володимир Стойко разом із дружиною Олесею поділилися новиною, що очікують на народження сина"
2026-06-14 18:47:36,Суспільне,"Один загиблий, троє поранених: війська РФ завдали понад 30 ударів дронами й артилерією по трьох районах Дніпропетровщини","Протягом 14 червня російські війська атакували Нікопольський, Синельниківський та Криворізький райони Дніпропетровщини. Завдали понад 30 ударів дронами й артилерією. Загинула людина, ще троє зазнали поранень, серед них дитина"
2026-06-14 18:42:00,Суспільне,"""Сині комірці"" для Одещини: чому робітничі професії повертають престиж і кого найбільше потребує ринок праці","На Одещині зберігається високий попит на електриків, зварювальників, будівельників, механіків і працівників сфери послуг. Роботодавці активно співпрацюють із закладами профосвіти та пропонують роботу студентам ще під час навчання"
2026-06-14 18:36:51,Суспільне,Київський та Холодногірський райони Харкова атакували дрони: є інформація про пожежу,"14 червня 2026 року ввечері Росія атакувала Харків безпілотниками: у Київському районі спалахнув заклад культури, у Холодногірському — пошкоджено склади. Без поранених"
2026-06-14 18:36:17,Суспільне,ЦВК Вірменії оголосила остаточні результати парламентських виборів: партія Пашиняна перемогла і сама сформує уряд,"Згідно з остаточними результатами, оголошеними ЦВК, ""Громадянський договір"" отримав 49,74% голосів, що дозволить партії самостійно сформувати новий уряд. На другому місці — ""Сильна Вірменія"" Самвела Карапетяна набрала із 23,27%"
2026-06-14 18:30:00,Суспільне,Фітофтора може знищити до 70% урожаю: як вчасно розпізнати хворобу і запобігти,"Бурі плями на листках і швидке відмирання рослин можуть свідчити про фітофтору — небезпечну хворобу овочів. Експерт розповів, чому та як вона з’являється та чим обробити врожай"
2026-06-14 18:26:24,Суспільне,Травмувався 46-річний чоловік: у Хусті на Закарпатті зіткнулися скутер і автомобіль,"У Хусті сталася ДТП за участі скутера й автомобіля. Внаслідок аварії травмувався 46-річний чоловік, його госпіталізували Хустської центральної лікарні"
2026-06-14 18:26:17,Суспільне,“Куди мені з палицею?” Як у Краматорську соцпрацівники допомагають самотнім літнім людям,У Краматорську благодійний фонд “Все буде добре — Україна” допомагає самотнім літнім людям та людям з інвалідністю. Як працюють кейс-менеджери та соціальне таксі
2026-06-14 18:24:20,Суспільне,Збірна Марокко виставила унікальний склад з народжених за кордоном у матчі ЧС-2026 з футболу: що він означає,"Чемпіонат світу-2026: збірна Марокко з футболу, матч світової першості проти Бразилії, усі футболісти народжені за межами країни, перший випадок в історії"
2026-06-14 18:19:23,Суспільне,Сильні пориви вітру та грози: якою буде погода у Запоріжжі та області 15 червня,"15 червня у Запоріжжі та області очікуються грози та пориви вітру 15-20 м/с (І рівень небезпечності, жовтий). Погодні умови можуть призвести до пошкодження ліній електропередач, падіння дерев та збільшення ймовірності ДТП"
2026-06-14 18:16:57,Суспільне,"""Боремося за рідних і не маємо права здаватися"": історія військового Руслана Кійка з Вінниччини","Молодший сержант Руслан Кійко розповів Суспільному про службу на різних напрямках фронту, побратимів як другу сім'ю та мрію про перемогу"
2026-06-14 18:14:12,Суспільне,"Сезон бузини: як сушити цвіт, де не варто його збирати і як готувати бузиновий квас та чай","Червень — час збору цвіту бузини. Із нього готують чай та квас, а також заготовляють на зиму. Щоб напої були ароматними, а сировина якісною, важливо знати, коли зривати суцвіття, де їх не варто збирати та як правильно сушити"
2026-06-14 18:08:52,Суспільне,Через ремонтні роботи у Франківську три комунальні автобуси тимчасово змінять напрямки руху,"В Івано-Франківську з 15 по 20 червня комунальні автобуси № 40, 53 та 54 тимчасово змінять маршрут. Триватимуть ремонтні роботи на вулиці Чорновола"
